Date,Step,Calorie,Total Sleep (min),Temperature,Battery Level,Total Sleep (hr)
2021-01-21,0,1770,0,7.638009049773756,77.47511312217195,0.0
2021-01-22,1498,6466,53697,7.12989921612542,76.90929451287793,894.95
2021-01-23,402,7703,107206,7.155515370705244,68.28933092224231,1786.7666666666667
2021-01-24,2451,3989,78265,8.41948310139165,62.50497017892644,1304.4166666666667
2021-01-25,86,2698,66696,5.332474226804123,63.24226804123711,1111.6
2021-01-26,396,3743,69182,7.87406015037594,55.984962406015036,1153.0333333333333
2021-01-27,687,2249,35745,5.5704918032786885,73.28524590163934,595.75
2021-01-28,590,2853,27783,5.563131313131313,77.20202020202021,463.05
2021-01-29,584,3087,23586,7.062790697674418,57.867441860465114,393.1
2021-01-30,3014,3393,47831,4.1525,75.5425,797.1833333333333
2021-01-31,72,928,19100,2.4242424242424243,81.52272727272727,318.3333333333333
